TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human
0.0,3.0, ,autonomous,49.99923704890517,1.0,49.99923704890517,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,3.88,5.0,1145.81557319195, ,0.0, ,0.0,0.0
1.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,23.543829892723853,20.0,0.0,20.0,23.543829892723853,1.0,1.1007340988683576,4.03,3.81,1120.07670285261, ,0.0, ,0.0,-0.1
2.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,3.861684427052872,20.0,0.0,20.0,3.861684427052872,1.0,3.064168731394417,4.24,4.04,1102.07216015842, ,0.0, ,0.0,-0.0
3.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-3.6449721574089047,20.0,0.0,20.0,-3.6449721574089047,1.0,4.272621015925022,4.02,3.81,1108.755621391, ,0.0, ,0.0,-0.1
4.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-3.402399790261448,20.0,0.0,20.0,-3.402399790261448,1.0,4.922059393844501,3.97,3.92,1128.1400084926402, ,0.0, ,0.0,-0.1
5.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-2.7037822767463204,20.0,0.0,20.0,-2.7037822767463204,1.0,5.567857018589153,4.22,4.18,1144.0231312325, ,0.0, ,0.0,-0.0
6.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-2.0741682251097937,20.0,0.0,20.0,-2.0741682251097937,1.0,6.404065320076152,3.55,5.0,1145.2174687808001, ,0.0, ,0.0,-0.0
7.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-1.5254362547548863,20.0,0.0,20.0,-1.5254362547548863,1.0,7.0058876829050005,4.22,4.02,1084.101328783, ,0.0, ,0.0,-0.0
8.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-1.091088718918484,20.0,0.0,20.0,-1.091088718918484,1.0,7.492685685598402,4.25,4.11,1046.35739969304, ,0.0, ,0.0,-0.0
9.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-0.7657202546660544,20.0,0.0,20.0,-0.7657202546660544,1.0,7.894652828728014,4.04,3.78,1051.8757785195598, ,0.0, ,0.0,-0.1
10.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-0.5221642040066241,20.0,0.0,20.0,-0.5221642040066241,1.0,8.231624657559022,3.85,3.72,1058.98392187071, ,0.0, ,0.0,-0.1
11.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-0.34685062746092754,20.0,0.0,20.0,-0.34685062746092754,1.0,8.549255427805669,3.99,5.0,1067.22606388031, ,0.0, ,0.0,0.0
12.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-0.23247932418411502,20.0,0.0,20.0,-0.23247932418411502,1.0,8.865720237037937,4.06,3.91,1067.22606388031, ,0.0, ,0.0,-0.1
13.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-0.14951627966324166,20.0,0.0,20.0,-0.14951627966324166,1.0,9.181364887869584,4.3,5.0,1077.18179941927, ,0.0, ,0.0,0.1
14.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-0.09795671559057506,20.0,0.0,20.0,-0.09795671559057506,1.0,9.690615840920524,4.15,4.02,1086.24833505286, ,0.0, ,0.0,-0.0
15.0,3.0, ,autonomous,0.0,1.0,0.0,-5.739070725566492,1.0,0.0,-0.061094197278255276,20.0,0.0,20.0,-0.061094197278255276,1.0,10.018255043772061,4.16,3.96,1092.1966915177802, ,0.0, ,0.0,-0.1
