TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human
0.0,3.0, ,autonomous,49.99923704890517,1.0,49.99923704890517,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,3.42,3.34,205.930807248764, ,0.0, ,0.0,0.1
1.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,30.13701663862457,20.0,0.0,20.0,30.13701663862457,1.0,1.1007801131520576,3.59,3.47,211.819529760644, ,0.0, ,0.0,0.2
2.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,5.404600819516987,20.0,0.0,20.0,5.404600819516987,1.0,3.064180045507761,3.5,3.35,217.287384294468, ,0.0, ,0.0,0.1
3.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-4.101630231850045,20.0,0.0,20.0,-4.101630231850045,1.0,4.272622263724063,3.57,3.45,238.225695023465, ,0.0, ,0.0,0.1
4.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-3.8845297060664095,20.0,0.0,20.0,-3.8845297060664095,1.0,4.922061173462208,3.68,3.44,242.55948771436198, ,0.0, ,0.0,0.2
5.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-3.091693128063333,20.0,0.0,20.0,-3.091693128063333,1.0,5.567858157355511,3.64,3.57,246.141728407217, ,0.0, ,0.0,0.2
6.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-2.4065095457886336,20.0,0.0,20.0,-2.4065095457886336,1.0,6.370307057621036,3.34,3.2,250.865485926446, ,0.0, ,0.0,0.1
7.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-1.7482780424762083,20.0,0.0,20.0,-1.7482780424762083,1.0,7.005888065867111,3.37,3.25,254.89396411092997, ,0.0, ,0.0,0.1
8.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-1.2485704755939135,20.0,0.0,20.0,-1.2485704755939135,1.0,7.492685874788295,3.51,3.34,259.558231889324, ,0.0, ,0.0,0.1
9.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.8750975959133322,20.0,0.0,20.0,-0.8750975959133322,1.0,7.8946529181488785,3.51,3.37,263.664407941572, ,0.0, ,0.0,0.1
10.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.5953102238781929,20.0,0.0,20.0,-0.5953102238781929,1.0,8.231624699057972,3.44,3.34,268.225953543265, ,0.0, ,0.0,0.1
11.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.4020489856332636,20.0,0.0,20.0,-0.4020489856332636,1.0,8.549255445426589,3.47,3.34,272.724793410969, ,0.0, ,0.0,0.1
12.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.2612313065908345,20.0,0.0,20.0,-0.2612313065908345,1.0,8.865720244493215,3.47,3.27,275.77077932822203, ,0.0, ,0.0,0.1
13.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.16668348570410618,20.0,0.0,20.0,-0.16668348570410618,1.0,9.181364891068332,3.41,3.24,280.528515723623, ,0.0, ,0.0,0.1
14.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.11471377618841384,20.0,0.0,20.0,-0.11471377618841384,1.0,9.690615842154402,3.55,3.34,285.33112677262, ,0.0, ,0.0,0.1
15.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.06766011867650268,20.0,0.0,20.0,-0.06766011867650268,1.0,10.018255044259654,3.51,3.34,288.541997287705, ,0.0, ,0.0,0.1
16.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.04280539827957625,20.0,0.0,20.0,-0.04280539827957625,1.0,10.310866816155851,3.53,3.39,292.594434853849, ,0.0, ,0.0,0.1
17.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.022867896645708208,20.0,0.0,20.0,-0.022867896645708208,1.0,10.561442928010543,3.87,3.7,294.793939036613, ,0.0, ,0.0,0.2
18.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.015338758597779669,20.0,0.0,20.0,-0.015338758597779669,1.0,10.809721941916358,3.67,3.54,297.424305514247, ,0.0, ,0.0,0.2
19.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.010059235789910484,20.0,0.0,20.0,-0.010059235789910484,1.0,11.023914080256498,4.01,3.88,302.416306287235, ,0.0, ,0.0,0.3
20.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.006209838219963147,20.0,0.0,20.0,-0.006209838219963147,1.0,11.231655768656909,3.91,3.74,306.306858210555, ,0.0, ,0.0,0.3
21.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.0031979238724306296,20.0,0.0,20.0,-0.0031979238724306296,1.0,11.437475658711051,3.57,3.41,302.96603750719504, ,0.0, ,0.0,0.1
22.0,3.0, ,autonomous,0.0,1.0,0.0,0.4243533989471189,1.0,0.0,-0.0007166539849950988,20.0,0.0,20.0,-0.0007166539849950988,1.0,11.64161171269165,3.76,3.56,270.731245092996, ,0.0, ,0.0,0.2
