TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human
0.0,3.0, ,autonomous,49.99923704890517,1.0,49.99923704890517,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,3.95,3.75,2257.7369257841196, ,0.0, ,0.0,0.1
1.0,3.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,23.543829892723853,20.0,0.0,20.0,23.543829892723853,1.0,1.1007340988683576,3.41,3.42,2262.3932772531302, ,0.0, ,0.0,-0.0
2.0,3.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,3.861684427052872,20.0,0.0,20.0,3.861684427052872,1.0,3.064168731394417,3.72,3.61,2267.0688749126602, ,0.0, ,0.0,0.0
3.0,3.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,-3.6449721574089047,20.0,0.0,20.0,-3.6449721574089047,1.0,4.272621015925022,3.75,3.64,2269.4139283918203, ,0.0, ,0.0,0.0
4.0,3.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,-3.402399790261448,20.0,0.0,20.0,-3.402399790261448,1.0,4.922059393844501,3.87,3.72,2271.76383833583, ,0.0, ,0.0,0.1
5.0,3.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,-2.7037822767463204,20.0,0.0,20.0,-2.7037822767463204,1.0,5.567857018589153,3.43,3.32,2274.1186198465102, ,0.0, ,0.0,-0.1
6.0,3.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,-2.0741682251097937,20.0,0.0,20.0,-2.0741682251097937,1.0,6.404065320076152,3.61,3.36,2276.47828808833, ,0.0, ,0.0,-0.0
7.0,3.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,-1.5254362547548863,20.0,0.0,20.0,-1.5254362547548863,1.0,7.0058876829050005,3.55,3.46,2278.84285828879, ,0.0, ,0.0,-0.0
8.0,3.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,-1.091088718918484,20.0,0.0,20.0,-1.091088718918484,1.0,7.492685685598402,3.44,3.43,2281.2123457387197, ,0.0, ,0.0,-0.0
9.0,3.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,-0.7657202546660544,20.0,0.0,20.0,-0.7657202546660544,1.0,7.894652828728014,4.08,3.97,2281.2123457387197, ,0.0, ,0.0,0.1
10.0,4.0, ,autonomous,0.0,1.0,0.0,5.986266880292972,1.0,0.0,-0.5221642040066241,20.0,0.0,20.0,-0.5221642040066241,1.0,8.231624657559022,4.08,3.68,2283.5867657926, ,0.0, ,0.0,0.1
11.0,5.0, ,autonomous,0.0,1.0,0.0,5.975280384527353,1.0,0.0,-0.34685062746092754,20.0,0.0,20.0,-0.34685062746092754,1.0,8.549255427805669,3.66,3.7,2285.9661338689198, ,0.0, ,0.0,0.0
12.0,5.0, ,autonomous,0.0,1.0,0.0,5.975280384527353,1.0,0.0,-0.23247932418411502,20.0,0.0,20.0,-0.23247932418411502,1.0,8.865720237037937,3.68,3.67,2285.9661338689198, ,0.0, ,0.0,0.0
13.0,5.0, ,autonomous,0.0,1.0,0.0,5.975280384527353,1.0,0.0,-0.14951627966324166,20.0,0.0,20.0,-0.14951627966324166,1.0,9.181364887869584,3.65,3.59,2288.35046545048, ,0.0, ,0.0,0.0
14.0,5.0, ,autonomous,0.0,1.0,0.0,5.975280384527353,1.0,0.0,-0.09795671559057506,20.0,0.0,20.0,-0.09795671559057506,1.0,9.690615840920524,3.8,3.62,2290.73977608477, ,0.0, ,0.0,0.0
15.0,5.0, ,autonomous,0.0,1.0,0.0,5.975280384527353,1.0,0.0,-0.061094197278255276,20.0,0.0,20.0,-0.061094197278255276,1.0,10.018255043772061,3.68,3.69,2290.73977608477, ,0.0, ,0.0,0.0
16.0,5.0, ,autonomous,0.0,1.0,0.0,5.975280384527353,1.0,0.0,-0.03201069835388104,20.0,0.0,20.0,-0.03201069835388104,1.0,10.310866816017237,3.65,3.66,2290.73977608477, ,0.0, ,0.0,0.0
17.0,5.0, ,autonomous,0.0,1.0,0.0,5.975280384527353,1.0,0.0,-0.02024267253286929,20.0,0.0,20.0,-0.02024267253286929,1.0,10.573909161016552,3.73,3.51,2293.13408138425, ,0.0, ,0.0,0.0
18.0,5.0, ,autonomous,0.0,1.0,0.0,5.975280384527353,1.0,0.0,-0.018202233292412426,20.0,0.0,20.0,-0.018202233292412426,1.0,10.809721941913418,3.68,3.59,2295.53339702673, ,0.0, ,0.0,0.0
19.0,5.0, ,autonomous,0.0,1.0,0.0,5.975280384527353,1.0,0.0,-0.007132780844494154,20.0,0.0,20.0,-0.007132780844494154,1.0,11.023914080253286,3.85,3.75,2293.13408138425, ,0.0, ,0.0,0.1
