TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0.0,3.0, ,autonomous,49.99923704890517,1.0,49.99923704890517,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,4.53,4.09,82.14901831923109, ,0.0, ,0.0,0.0,0.8,3.734513274336283,0.0
1.0,3.0, ,autonomous,0.0,1.0,0.0,4.915083543144887,1.0,0.0,-10.043726886122151,20.0,0.0,20.0,-10.043726886122151,1.0,0.9112110870422232,4.24,3.85,82.6623902656769, ,0.0, ,0.0,-0.26500000000000057,0.8,3.734513274336283,0.0
2.0,3.0, ,autonomous,0.0,1.0,0.0,4.915083543144887,1.0,0.0,-3.9322145958604264,20.0,0.0,20.0,-3.9322145958604264,1.0,3.0641624658147504,4.53,4.22,80.8577388941896, ,0.0, ,0.0,0.33000000000000007,0.8,3.734513274336283,0.0
3.0,3.0, ,autonomous,0.0,1.0,0.0,4.876630807965213,1.0,0.0,-1.3960230355372367,20.0,0.0,20.0,-1.3960230355372367,1.0,4.228418692031471,4.34,3.94,79.88113686833991, ,0.0, ,0.0,-0.23500000000000032,0.8,3.734513274336283,0.0
4.0,3.0, ,autonomous,0.0,1.0,0.0,4.698100251773867,1.0,0.0,-0.9769160827828368,20.0,0.0,20.0,-0.9769160827828368,1.0,4.8966184754670685,4.65,4.29,81.1056319750844, ,0.0, ,0.0,0.33000000000000096,0.8,3.734513274336283,0.0
5.0,3.0, ,autonomous,0.0,1.0,0.0,3.5088120851453515,1.0,0.0,-0.7697499108275556,20.0,0.0,20.0,-0.7697499108275556,1.0,5.508561629669504,4.79,4.29,80.12306903403629, ,0.0, ,0.0,0.0699999999999994,0.8,3.734513274336283,0.0
6.0,3.0, ,autonomous,0.0,1.0,0.0,-0.14145113298238246,1.0,0.0,-0.6042779710059145,20.0,0.0,20.0,-0.6042779710059145,1.0,6.336125063004139,4.78,4.49,81.03465041651809, ,0.0, ,0.0,0.09499999999999975,0.8,3.734513274336283,0.0
7.0,3.0, ,autonomous,0.0,1.0,0.0,-0.14969100480658426,1.0,0.0,-0.4461526883404723,20.0,0.0,20.0,-0.4461526883404723,1.0,6.9515899151233755,5.17,4.77,76.1058175286919, ,0.0, ,0.0,0.33499999999999996,0.8,3.734513274336283,0.0
8.0,0.0, ,manual,0.0,1.0,0.0,-1.113756008239875,1.0,0.0,2.22751201647975,0.0,0.0,20.0,-1.6646761156149799,1.0,7.364858828050572,5.28,4.91,74.7540591454116, ,0.0, ,0.0,0.1250000000000009,0.8,3.734513274336283,-3.0
9.0,0.0, ,manual,0.0,1.0,0.0,-5.110093842984668,1.0,0.0,10.220187685969336,0.0,0.0,20.0,-26.106638813670305,1.0,7.242987286806523,5.04,4.59,73.7419621261283, ,0.0, ,0.0,-0.28000000000000114,0.8,3.734513274336283,0.0
